ID,Parking_date,Parking_time,Parking_duration,Species_English,Species_status,Vehicle_type,Vehicle_color,Location_lon,Location_lat,Destination_lon,Destination_lat,Weather,Tree_nearby,Brood_queen
1,8/13/2017,NA,A day,Dolichoderus_thoracicus,Exotic,Car,NA,121.0054563,23.91470996,120.4935991,22.67443376,NA,NA,No
2,5/17/2019,17:00,A day,Dolichoderus_thoracicus,Exotic,Car,White,120.991599,22.686784,120.8734948,24.68874002,Cloudy,Yes,No
3,9/25/2019,NA,A month,Dolichoderus_thoracicus,Exotic,Scooter,NA,121.0146077,24.77810107,NA,NA,NA,Yes,No
4,4/8/2020,NA,A week,Tapinoma_melanocephalum,Exotic,Car,NA,120.5610416,24.09299204,121.391039,25.083033,Sunny,Yes,No
5,6/1/2020,NA,Half day,Dolichoderus_thoracicus,Exotic,Scooter,NA,120.9278816,23.94966022,NA,NA,NA,NA,No
6,8/1/2020,NA,A day,Dolichoderus_thoracicus,Exotic,Car,NA,120.7976235,23.83542443,121.199268,23.108855,NA,Yes,No
7,9/5/2020,NA,A month,Anoplolepis_gracilipes,Exotic,Car,Dark green,121.618935,25.044103,NA,NA,NA,NA,Brood
8,9/6/2020,6:00,Half day,Dolichoderus_thoracicus,Exotic,Car,NA,120.8181539,21.96577973,NA,NA,NA,NA,No
9,10/1/2020,NA,Half day,Dolichoderus_thoracicus,Exotic,Car,NA,120.6860111,23.75684947,NA,NA,NA,NA,No
10,12/13/2020,9:00,Half day,Polyrhachis_dives,Native,Scooter,NA,120.603,22.64866667,NA,NA,Sunny,NA,Brood
11,4/1/2021,NA,A week,Tapinoma_melanocephalum,Exotic,Car,NA,121.2594605,25.01808929,NA,NA,NA,NA,No
12,5/3/2021,NA,Half day,Paratrechina_longicornis,Exotic,Car,NA,120.9898209,24.78942037,NA,NA,NA,NA,Brood
13,5/11/2021,NA,A day,Paratrechina_longicornis,Exotic,Car,NA,120.9898209,24.78942037,NA,NA,NA,NA,Brood
14,5/25/2021,NA,A day,Dolichoderus_thoracicus,Exotic,Car,NA,120.8007516,23.82918755,NA,NA,NA,NA,Queen
15,6/8/2021,NA,A day,Dolichoderus_thoracicus,Exotic,Car,NA,120.9898209,24.78942037,NA,NA,NA,NA,No
16,6/16/2021,NA,A week,Tapinoma_melanocephalum,Exotic,Car,NA,121.0949144,22.80119838,NA,NA,NA,NA,No
17,6/29/2021,NA,Half day,Dolichoderus_thoracicus,Exotic,Car,NA,120.9898209,24.78942037,NA,NA,NA,Yes,No
18,7/4/2021,NA,A month,Polyrhachis_dives,Native,Car,NA,120.7558333,24.57430556,NA,NA,NA,NA,Brood
19,7/25/2021,16:42,NA,Technomyrmex_albipes,Exotic,Car,NA,120.789,24.274,NA,NA,NA,NA,No
20,7/26/2021,NA,A month,Nylanderia_sp,Native,Car,NA,121.213536,24.94478456,NA,NA,NA,NA,No
21,7/31/2021,NA,A week,Dolichoderus_thoracicus,Exotic,Car,NA,120.615508,24.11449232,NA,NA,NA,NA,No
22,8/1/2021,NA,A day,Dolichoderus_thoracicus,Exotic,Car,NA,120.9084878,23.86498643,NA,NA,NA,NA,No
23,8/2/2021,NA,NA,Dolichoderus_thoracicus,Exotic,Car,NA,120.6816435,24.19336842,NA,NA,NA,NA,No
24,8/4/2021,NA,A week,Paratrechina_longicornis,Exotic,Scooter,NA,121.4704746,25.14583536,NA,NA,NA,NA,No
25,8/9/2021,NA,A day,Technomyrmex_albipes,Exotic,Car,NA,120.7840573,22.13346974,NA,NA,NA,NA,Brood
26,8/18/2021,NA,A day,Dolichoderus_thoracicus,Exotic,Car,Black,120.8007516,23.82918755,NA,NA,NA,NA,Queen
27,9/10/2021,NA,A day,Technomyrmex_albipes,Exotic,Car,NA,121.6163509,25.03696507,NA,NA,NA,NA,No
28,9/13/2021,16:20,Half day,Technomyrmex_albipes,Exotic,Car,NA,120.5245916,23.67639585,NA,NA,NA,NA,No
29,10/12/2021,NA,Half day,Dolichoderus_thoracicus,Exotic,Car,White,121.384303,25.08061169,121.391039,25.083033,NA,NA,No
30,10/31/2021,NA,Half day,Dolichoderus_thoracicus,Exotic,Car,NA,120.9452878,23.96450797,NA,NA,NA,Yes,No
31,11/1/2021,NA,A week,Paratrechina_longicornis,Exotic,Scooter,NA,120.4722002,23.47781601,NA,NA,NA,NA,No
32,3/30/2022,NA,A week,Dolichoderus_thoracicus,Exotic,Car,NA,120.8007516,23.82918755,121.199268,23.108855,NA,Yes,Queen
33,4/9/2022,NA,A day,Technomyrmex_brunneus,Exotic,Car,Black,121.6758404,24.59080469,121.391039,25.083033,Rainy,NA,No
34,4/17/2022,NA,A week,Technomyrmex_brunneus,Exotic,Scooter,NA,121.3851868,25.03475534,NA,NA,NA,NA,Brood
35,5/23/2022,NA,A week,Tapinoma_melanocephalum,Exotic,Car,NA,120.9247484,24.72048422,NA,NA,NA,NA,No
36,5/29/2022,NA,A day,Dolichoderus_thoracicus,Exotic,Car,White,120.7928224,23.83131991,NA,NA,NA,Yes,No
37,6/5/2022,9:00,Half day,Dolichoderus_thoracicus,Exotic,Car,White,121.0333387,24.091411,120.67558,24.121393,NA,NA,No
38,6/16/2022,0:00,A day,Dolichoderus_thoracicus,Exotic,Car,White,120.9731705,24.01119669,NA,NA,NA,Yes,No
39,6/16/2022,NA,A day,Dolichoderus_thoracicus,Exotic,Car,NA,121.0063199,23.97814081,120.56428,24.223341,NA,NA,No
40,8/4/2022,15:00,Half day,Dolichoderus_thoracicus,Exotic,Car,Black,121.269271,23.100578,NA,NA,NA,Yes,No
41,8/14/2022,NA,Half day,Dolichoderus_thoracicus,Exotic,Car,White,121.0265923,24.0866315,120.666963,24.157351,NA,NA,No
42,8/14/2022,NA,A week,Tapinoma_melanocephalum,Exotic,Car,Blue,120.6820932,24.19254742,NA,NA,NA,NA,No
43,2/22/2023,13:30,Half day,Dolichoderus_thoracicus,Exotic,Car,White,120.795442,23.775696,120.6755454,24.12131112,Cloudy,Yes,No
44,3/31/2023,NA,A week,Paratrechina_longicornis,Exotic,Scooter,Silver,121.536392,25.006433,NA,NA,Rainy,No,Brood
45,5/24/2023,17:00,A week,Dolichoderus_thoracicus,Exotic,Car,White,120.55804,24.06537,120.5576004,24.0656321,Cloudy,Yes,No
